subject_id,diet_name,scenario,taxon_id,species_name,abundance_raw,abundance_normalized,growth_rate,reactions,metabolites
MBS1255,high_fiber,all_bounds_zero_all_taxa,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,0.0,0.0,0.0,,
MBS1255,high_fiber,all_bounds_zero_all_taxa,Bilophila_wadsworthia_3_1_6,Bilophila wadsworthia,0.0,0.0,0.0,,
MBS1255,high_fiber,all_bounds_zero_all_taxa,Escherichia_coli_UTI89_UPEC,Escherichia coli,0.648357288854883,0.04448673567932088,0.0,3198,2562
MBS1255,high_fiber,all_bounds_zero_all_taxa,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,0.101679183574129,0.00697667018094379,0.0,2046,1734
MBS1255,high_fiber,all_bounds_zero_all_taxa,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,0.0,0.0,0.0,,
MBS1255,high_fiber,all_bounds_zero_all_taxa,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,6.57457500168121,0.451111424721141,0.0,2495,2170
MBS1255,high_fiber,all_bounds_zero_all_taxa,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,1.19949173515098,0.08230257095657502,0.0,998,907
MBS1478,high_fiber,all_bounds_zero_all_taxa,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,0.0,0.0,0.0,,
MBS1478,high_fiber,all_bounds_zero_all_taxa,Alistipes_shahii_WAL_8301,Alistipes shahii,0.0,0.0,0.0,,
MBS1478,high_fiber,all_bounds_zero_all_taxa,Bacteroides_dorei_DSM_17855,Bacteroides dorei,0.0,0.0,0.0,,
MBS1478,high_fiber,all_bounds_zero_all_taxa,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,0.0,0.0,0.0,,
MBS1478,high_fiber,all_bounds_zero_all_taxa,Bilophila_wadsworthia_3_1_6,Bilophila wadsworthia,0.0,0.0,0.0,,
MBS1478,high_fiber,all_bounds_zero_all_taxa,Escherichia_coli_UTI89_UPEC,Escherichia coli,0.128351015931946,1.0,0.0,3198,2562
MBS1478,high_fiber,all_bounds_zero_all_taxa,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,0.0,0.0,0.0,,
MBS1478,high_fiber,all_bounds_zero_all_taxa,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,0.0,0.0,0.0,,
MBS1478,high_fiber,all_bounds_zero_all_taxa,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,0.0,0.0,0.0,,
MBS1478,high_fiber,all_bounds_zero_all_taxa,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,0.0,0.0,0.0,,
MBS1515,high_fiber,all_bounds_zero_all_taxa,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,2.38915061624897,0.08085621533605328,0.0,1189,1105
MBS1515,high_fiber,all_bounds_zero_all_taxa,Alistipes_shahii_WAL_8301,Alistipes shahii,0.696670645732528,0.023577480367519235,0.0,2434,2022
MBS1515,high_fiber,all_bounds_zero_all_taxa,Bacteroides_dorei_DSM_17855,Bacteroides dorei,24.0666761840252,0.8144904464055032,0.0,2115,1834
MBS1515,high_fiber,all_bounds_zero_all_taxa,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,0.0,0.0,0.0,,
MBS1515,high_fiber,all_bounds_zero_all_taxa,Bilophila_wadsworthia_3_1_6,Bilophila wadsworthia,0.256513062574607,0.008681192086837264,0.0,1240,1154
MBS1515,high_fiber,all_bounds_zero_all_taxa,Escherichia_coli_UTI89_UPEC,Escherichia coli,0.375733165665825,0.012715967568286213,0.0,3198,2562
MBS1515,high_fiber,all_bounds_zero_all_taxa,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,0.0,0.0,0.0,,
MBS1515,high_fiber,all_bounds_zero_all_taxa,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,0.0,0.0,0.0,,
MBS1515,high_fiber,all_bounds_zero_all_taxa,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,1.58784977558271,0.053737726915430425,0.0,2495,2170
MBS1515,high_fiber,all_bounds_zero_all_taxa,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,0.175544640967774,0.00594097132037044,0.0,998,907
